Date,Open,High,Low,Close,Adj_Close,Volume
20-09-2001,5.7525,5.7525,5.4125,5.5075,5.5075,770800
21-09-2001,5.425,5.5,5.35,5.4125,5.4125,1150400
24-09-2001,5.375,5.4625,5.1,5.25,5.25,1494000
25-09-2001,5.25,5.3375,5.2,5.28,5.28,890000
26-09-2001,5.3425,5.55,5.325,5.5125,5.5125,1570800
27-09-2001,5.5,5.625,5.275,5.58,5.58,1117200
28-09-2001,5.625,5.9875,5.6,5.6,5.6,879600
1/10/2001,5.65,5.925,5.65,5.8175,5.8175,994800
2/10/2001,5.8375,6,5.8375,5.965,5.965,1065200
3/10/2001,5.9625,6.0625,5.7675,5.8125,5.8125,951600
4/10/2001,5.8375,6.075,5.8375,6.0325,6.0325,604800
5/10/2001,6.0575,6.1475,5.8425,6.0625,6.0625,876000
8/10/2001,6.05,6.125,6.025,6.1025,6.1025,963600
9/10/2001,6.05,6.0875,5.95,6.0375,6.0375,974000
10/10/2001,6.05,6.2,5.925,6.075,6.075,1755600
11/10/2001,6.0825,6.2375,6.0825,6.175,6.175,843600
12/10/2001,6.2125,6.2125,6.0375,6.1225,6.1225,1004400
15-10-2001,6.1225,6.125,5.9925,6.0225,6.0225,1559200
16-10-2001,6.0225,6.175,6.0125,6.175,6.175,1093600
17-10-2001,6.175,6.2875,6.16,6.1625,6.1625,1020800
18-10-2001,6.15,6.2775,6.08,6.27,6.27,988800
19-10-2001,6.275,6.6,6.2675,6.565,6.565,944400
22-10-2001,6.565,6.625,6.45,6.505,6.505,605600
23-10-2001,6.475,6.6625,6.475,6.5875,6.5875,866000
24-10-2001,6.5875,6.615,6.5125,6.575,6.575,728800
25-10-2001,6.55,6.75,6.49,6.725,6.725,735200
26-10-2001,6.725,6.725,6.35,6.49,6.49,1451600
29-10-2001,6.4375,6.4375,6.155,6.1625,6.1625,1157200
30-10-2001,6.2,6.2875,6.14,6.275,6.275,1318400
31-10-2001,6.3,6.4475,6.275,6.35,6.35,983200
1/11/2001,6.3525,6.4875,6.3525,6.4875,6.4875,1248400
2/11/2001,6.4875,6.5625,6.42,6.555,6.555,550000
5/11/2001,6.52,6.6,6.47,6.47,6.47,735200
6/11/2001,6.45,6.4525,6.23,6.425,6.425,1154000
7/11/2001,6.375,6.4,6.26,6.2625,6.2625,922000
8/11/2001,6.2625,6.3125,6.25,6.2625,6.2625,738400
9/11/2001,6.275,6.325,6.27,6.315,6.315,672000
12/11/2001,6.3125,6.375,6.2925,6.35,6.35,638800
13-11-2001,6.3375,6.375,6.05,6.23,6.23,1015600
14-11-2001,6.23,6.23,6.05,6.07,6.07,1244000
15-11-2001,6.0075,6.03,5.9,5.9225,5.9225,963200
16-11-2001,5.925,5.93,5.815,5.8525,5.8525,754000
19-11-2001,5.8525,5.8625,5.7625,5.8375,5.8375,943200
20-11-2001,5.8625,6.1175,5.8625,6.1,6.1,1491200
21-11-2001,6.1,6.2925,6.1,6.25,6.25,594400
23-11-2001,6.225,6.3,6.2125,6.3,6.3,308800
26-11-2001,6.3,6.46,6.3,6.425,6.425,541200
27-11-2001,6.425,6.43,6.1775,6.225,6.225,713600
28-11-2001,6.225,6.27,6.2125,6.235,6.235,416000
29-11-2001,6.225,6.4325,6.225,6.4325,6.4325,426400
30-11-2001,6.4325,6.4675,6.3125,6.3125,6.3125,866000
3/12/2001,6.3025,6.35,5.975,6.1175,6.1175,1183600
4/12/2001,6.125,6.4425,6.1075,6.3875,6.3875,618400
5/12/2001,6.375,6.4875,6.225,6.355,6.355,1070000
6/12/2001,6.3375,6.4725,6.325,6.405,6.405,606800
7/12/2001,6.4,6.54,6.4,6.4575,6.4575,929600
10/12/2001,6.45,6.4525,6.1,6.17,6.17,954000
11/12/2001,6.2325,6.5125,6.2,6.5125,6.5125,1242800
12/12/2001,6.5125,6.6275,6.4625,6.62,6.62,970000
13-12-2001,6.595,6.75,6.595,6.725,6.725,1365600
14-12-2001,6.7375,6.7875,6.5625,6.6725,6.6725,1175200
17-12-2001,6.6875,7.1,6.6875,7.1,7.1,3472000
18-12-2001,7.1875,7.2875,6.9375,7.115,7.115,1639200
19-12-2001,7.0875,7.0875,6.8625,6.92,6.92,1231200
20-12-2001,6.875,6.9925,6.825,6.8875,6.8875,992800
21-12-2001,6.8375,6.925,6.725,6.86,6.86,2464400
24-12-2001,6.9225,7.175,6.875,7.155,7.155,498800
26-12-2001,7.175,7.275,7.05,7.1375,7.1375,700000
27-12-2001,7.1,7.1025,6.8875,6.9025,6.9025,774800
28-12-2001,6.9375,7.275,6.9375,7.19,7.19,1032800
31-12-2001,7.19,7.19,6.8875,6.9075,6.9075,810000
2/1/2002,6.9125,6.93,6.625,6.85,6.85,1211200
3/1/2002,6.875,6.9975,6.75,6.7625,6.7625,877200
4/1/2002,6.7625,6.8625,6.75,6.8375,6.8375,709200
7/1/2002,6.825,6.8625,6.7525,6.8275,6.8275,601200
8/1/2002,6.83,6.8725,6.725,6.825,6.825,696400
9/1/2002,6.8125,6.9575,6.7475,6.75,6.75,1230800
10/1/2002,6.7375,6.7725,6.6525,6.7,6.7,1038400
11/1/2002,6.7,6.7025,6.45,6.46,6.46,1508800
14-01-2002,6.4375,6.5125,6.275,6.5125,6.5125,2314400
15-01-2002,6.5,6.625,6.475,6.625,6.625,960400
16-01-2002,6.625,6.66,6.5,6.5075,6.5075,855600
17-01-2002,6.51,6.625,6.4775,6.5075,6.5075,1085200
18-01-2002,6.525,6.6625,6.5,6.5,6.5,586800
22-01-2002,6.5025,6.595,6.475,6.5425,6.5425,370000
23-01-2002,6.545,6.6875,6.5,6.6875,6.6875,466000
24-01-2002,6.7,6.7375,6.575,6.66,6.66,982400
25-01-2002,6.65,6.8125,6.635,6.7525,6.7525,1493200
28-01-2002,6.7525,6.845,6.695,6.8425,6.8425,1440400
29-01-2002,6.845,6.9525,6.725,6.7375,6.7375,836800
30-01-2002,6.735,6.8425,6.675,6.8375,6.8375,1563200
31-01-2002,6.8425,6.8925,6.7175,6.7325,6.7325,1199200
1/2/2002,6.7625,6.9125,6.7625,6.885,6.885,604000
4/2/2002,6.875,6.8875,6.25,6.4125,6.4125,1994800
5/2/2002,6.415,6.7175,6.3625,6.365,6.365,4036000
6/2/2002,6.625,7.1175,6.575,7,7,2628000
7/2/2002,6.95,7.15,6.95,7.0975,7.0975,1264800
8/2/2002,7.1375,7.4,7.1125,7.25,7.25,2121600
11/2/2002,7.25,7.3825,7.1625,7.3825,7.3825,2186800
12/2/2002,7.35,7.35,6.95,7,7,1206800
13-02-2002,7,7.1375,6.985,7.075,7.075,1180000
14-02-2002,7.075,7.1875,7.045,7.1,7.1,602800
15-02-2002,7.075,7.0875,6.9,6.9125,6.9125,393600
19-02-2002,6.9125,6.9125,6.7,6.75,6.75,1165200
20-02-2002,6.8125,7.25,6.8025,7.2125,7.2125,2309600
21-02-2002,7.1625,7.39,6.85,6.85,6.85,1508000
22-02-2002,6.8375,7.3375,6.75,7.245,7.245,998000
25-02-2002,7.2075,7.2375,6.825,6.8875,6.8875,1615600
26-02-2002,6.95,7.075,6.91,6.91,6.91,682800
27-02-2002,6.91,7.04,6.91,7.015,7.015,611200
28-02-2002,7.025,7.225,6.9875,7.1325,7.1325,1091200
1/3/2002,7.125,7.1275,6.8225,6.9375,6.9375,1186000
